PALABRA_CLAVE;SINONIMOS;GRUPO 1;GRUPO 2;1.1;1.2;1.3;1.4;1.5;2.1;2.2;2.3;3.1;3.2;3.3;3.4;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;6.4;6.5
PADLET;;OFIMATICA;;;;;1;;;1;;1;;1;1;1;;;;;;;;;;
MINDMEISTER;MINDMESTER;OFIMATICA;;;;;1;;;1;;1;;1;1;1;;;;;;;;;;
DROPBOX;;OFIMATICA;;;;;1;;;1;;1;;1;;;;;;;;;;;;
WIKISPACES;WIKISPACE, WIKIS, WIKI, wikipedia;OFIMATICA;NUBE;1;1;;1;1;;1;;1;;1;;;;;;;;;1;;;1
PREZI;;OFIMATICA;NUBE;1;1;;1;1;;1;;1;;1;1;1;;;;;;;1;;;1
COGGLE;COGLE;OFIMATICA;;;;;1;;;1;;1;;1;1;1;;;;;;;;;;1
STORMBOARD;STORMBORD;OFIMATICA;;;;;1;;;1;;1;;1;;1;;;;;;;;;;1
WETRANSFER;;OFIMATICA;;;;;1;;;;;1;;1;;;;;;;;;;;;1
TRELLO;TRELO;OFIMATICA;COMUNICACION_INTERACTIVA;;;;1;;;1;;1;;1;1;1;;;;;;;;;;1
OFIMATICA;Office;OFIMATICA;;;;;1;;;1;;1;;1;1;1;;1;;;1;;;1;;
DECK.TOYS;DECK TOYS, DECKTOYS;OFIMATICA;;;;;;;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;;;1
Materiales digitales;ARTEFACTOS DIGITALES;OFIMATICA;AUDIOVISUALES;;;;1;;;1;;1;;1;1;1;;1;;;1;;;1;;
WORDPRESS;WORDPRES;REDES;SOFTWARE_LIBRE;1;1;;1;1;;1;;1;;1;1;1;;;1;;;;;;;
BLOG;BLOGS;REDES;NUBE;2;1;;1;1;1;1;;1;1;1;1;1;;;;;;;1;1;;1
CIBER;;REDES;;;;;1;1;;;;1;;;;;;;;;;;;;;1
